Game,ReleaseDate,Genre,TotalEarnings,OnlineEarnings,TotalPlayers,TotalTournaments
Dota 2,2013,MOBA,315474024,38291450,5802,1261
Counter-Strike: Global Offensive,2012,First-Person Shooter,130498690,41223100,11342,8127
Fortnite,2017,Battle Royale,121455034,88234900,10982,2187
League of Legends,2009,MOBA,90484922,14092300,5621,2743
PUBG,2017,Battle Royale,62841200,29183500,4312,1087
Valorant,2020,First-Person Shooter,51294800,26183200,3241,1792
StarCraft II,2010,Strategy,47192300,13293100,1823,2134
Overwatch,2016,First-Person Shooter,41823100,11239200,2394,887
Apex Legends,2019,Battle Royale,38293100,22193200,5821,1394
Rainbow Six Siege,2015,First-Person Shooter,28192300,8293100,2213,1189
Hearthstone,2014,Collectible Card Game,27193400,18293200,2912,3201
Arena of Valor,2016,MOBA,22193400,14293200,2193,892
Call of Duty: Warzone,2020,First-Person Shooter,21293100,10293200,4123,1693
Rocket League,2015,Sports,23193200,11293100,3601,3124
PUBG Mobile,2018,Battle Royale,18293100,16293100,6821,1892
StarCraft: Brood War,1998,Strategy,17193200,1293100,823,1893
Smite,2014,MOBA,14193200,4293100,1823,892
Heroes of the Storm,2015,MOBA,13193100,3193100,1623,729
Street Fighter V,2016,Fighting,12193200,3193100,2823,2934
King of Fighters XV,2022,Fighting,3193200,1193100,823,492
FIFA 23,2022,Sports,9193100,6293100,4823,2392
Teamfight Tactics,2019,Collectible Card Game,7193200,5193100,2123,1292
Magic: The Gathering Arena,2019,Collectible Card Game,6193100,5193100,1823,892
Age of Empires IV,2021,Strategy,5293100,2193100,923,492
Call of Duty 4: Modern Warfare,2007,First-Person Shooter,4193100,193100,823,1892
