Date,Game,Earnings,Players,Tournament
1998-08-01,StarCraft: Brood War,25000,8,1
1999-03-01,StarCraft: Brood War,48000,16,2
1999-09-01,StarCraft: Brood War,62000,32,2
2000-01-01,Counter-Strike,18000,40,3
2000-05-01,StarCraft: Brood War,95000,64,3
2000-11-01,Counter-Strike,42000,80,4
2001-02-01,StarCraft: Brood War,128000,96,4
2001-06-01,Counter-Strike,87000,120,5
2001-10-01,StarCraft: Brood War,143000,128,5
2002-01-01,Counter-Strike,102000,160,6
2002-04-01,StarCraft: Brood War,178000,192,6
2002-09-01,Counter-Strike,134000,200,7
2003-02-01,StarCraft: Brood War,212000,256,7
2003-07-01,Counter-Strike,189000,280,8
2003-11-01,StarCraft: Brood War,248000,320,8
2004-01-01,Counter-Strike,221000,360,9
2004-06-01,StarCraft: Brood War,287000,400,9
2004-10-01,Counter-Strike,256000,440,10
2005-03-01,StarCraft: Brood War,312000,480,10
2005-07-01,Counter-Strike,298000,520,11
2005-12-01,StarCraft: Brood War,349000,560,11
2006-02-01,Counter-Strike,334000,600,12
2006-05-01,StarCraft: Brood War,378000,640,12
2006-08-01,Counter-Strike,389000,680,13
2006-11-01,StarCraft: Brood War,412000,720,13
2007-01-01,Counter-Strike,423000,760,14
2007-04-01,StarCraft: Brood War,445000,800,14
2007-07-01,Counter-Strike,478000,840,15
2007-10-01,StarCraft: Brood War,492000,880,15
2008-01-01,Counter-Strike,512000,920,16
2008-04-01,StarCraft: Brood War,534000,960,16
2008-07-01,Counter-Strike,556000,1000,17
2008-10-01,StarCraft: Brood War,578000,1040,17
2009-01-01,Counter-Strike,612000,1100,18
2009-03-01,League of Legends,45000,20,1
2009-06-01,StarCraft: Brood War,634000,1140,18
2009-09-01,Counter-Strike,656000,1180,19
2009-12-01,League of Legends,120000,60,3
2010-01-01,Counter-Strike,698000,1240,20
2010-03-01,StarCraft II,280000,120,4
2010-06-01,League of Legends,210000,100,5
2010-09-01,Counter-Strike,734000,1320,21
2010-12-01,StarCraft II,520000,240,8
2011-01-01,League of Legends,450000,180,7
2011-03-01,Counter-Strike,780000,1400,22
2011-06-01,StarCraft II,820000,360,11
2011-09-01,League of Legends,890000,320,10
2011-12-01,Dota 2,120000,40,2
2012-01-01,League of Legends,1230000,480,14
2012-03-01,Counter-Strike: Global Offensive,340000,200,6
2012-06-01,Dota 2,680000,120,5
2012-09-01,League of Legends,2100000,640,18
2012-12-01,Counter-Strike: Global Offensive,890000,400,12
2013-01-01,Dota 2,2800000,180,6
2013-03-01,League of Legends,3200000,800,20
2013-06-01,Counter-Strike: Global Offensive,1890000,600,18
2013-09-01,Dota 2,4500000,240,8
2013-12-01,League of Legends,4800000,960,24
2014-01-01,Dota 2,6200000,320,10
2014-03-01,League of Legends,5600000,1100,26
2014-06-01,Counter-Strike: Global Offensive,3400000,900,22
2014-09-01,Dota 2,11000000,400,12
2014-12-01,Hearthstone,480000,320,18
2015-01-01,Counter-Strike: Global Offensive,6800000,1400,30
2015-03-01,League of Legends,7200000,1400,30
2015-06-01,Dota 2,18900000,480,14
2015-09-01,Rocket League,120000,80,4
2015-12-01,Counter-Strike: Global Offensive,8900000,1800,36
2016-01-01,Dota 2,14200000,560,16
2016-03-01,League of Legends,8900000,1600,34
2016-06-01,Counter-Strike: Global Offensive,12400000,2200,44
2016-08-01,Overwatch,1200000,240,8
2016-11-01,Dota 2,21300000,640,18
2017-01-01,Counter-Strike: Global Offensive,14800000,2800,54
2017-03-01,PUBG,800000,400,12
2017-06-01,Fortnite,2400000,800,16
2017-09-01,Dota 2,24900000,720,20
2017-12-01,League of Legends,10200000,1800,38
2018-01-01,Fortnite,18900000,4800,42
2018-03-01,Counter-Strike: Global Offensive,18200000,3600,68
2018-06-01,Dota 2,28900000,840,22
2018-07-01,Fortnite,30000000,8000,60
2018-09-01,PUBG,12400000,1200,28
2018-12-01,Overwatch,14800000,680,20
2019-01-01,Fortnite,22100000,6400,54
2019-03-01,Dota 2,34200000,960,26
2019-06-01,Counter-Strike: Global Offensive,21800000,4200,80
2019-09-01,League of Legends,12800000,2200,46
2019-12-01,Apex Legends,4800000,1800,32
2020-01-01,Fortnite,8900000,3200,28
2020-02-01,Counter-Strike: Global Offensive,6800000,2400,42
2020-03-01,PUBG Mobile,14200000,8000,68
2020-06-01,Dota 2,9800000,600,14
2020-09-01,Counter-Strike: Global Offensive,9200000,2800,52
2020-12-01,Valorant,2400000,800,24
2021-01-01,Valorant,8900000,1800,48
2021-03-01,Counter-Strike: Global Offensive,14800000,3200,62
2021-06-01,Dota 2,40200000,1100,28
2021-09-01,Fortnite,6800000,2400,34
2021-12-01,Rainbow Six Siege,8200000,1200,32
2022-01-01,Valorant,12400000,2400,56
2022-03-01,Counter-Strike: Global Offensive,12800000,3600,70
2022-06-01,Dota 2,18900000,900,22
2022-09-01,League of Legends,14200000,2600,52
2022-12-01,Apex Legends,8900000,2400,42
2023-01-01,Valorant,14800000,2800,62
2023-03-01,Counter-Strike 2,16200000,4000,78
2023-06-01,Dota 2,12400000,800,18
2023-09-01,League of Legends,16800000,2800,56
2023-12-01,Fortnite,9800000,3200,44
