TournamentName,Game,PrizePool,Year,Location,Players
The International 2021,Dota 2,40018195,2021,Online/Bucharest,18
The International 2019,Dota 2,34330068,2019,Shanghai,18
The International 2018,Dota 2,25532177,2018,Vancouver,18
The International 2022,Dota 2,18936100,2022,Singapore,18
The International 2017,Dota 2,24787916,2017,Seattle,16
Fortnite World Cup Finals 2019 - Solos,Fortnite,15287000,2019,New York,100
The International 2016,Dota 2,20770460,2016,Seattle,16
Fortnite World Cup Finals 2019 - Duos,Fortnite,15287000,2019,New York,50
The International 2015,Dota 2,18571683,2015,Seattle,16
The International 2020,Dota 2,7400000,2020,Online,18
2019 League of Legends World Championship,League of Legends,2225000,2019,Paris,16
Fortnite Champion Series Chapter 2 Season 5 Finals,Fortnite,3400000,2021,Online,200
The International 2014,Dota 2,10931103,2014,Seattle,16
PUBG Global Championship 2021,PUBG,2000000,2021,Online/Sao Paulo,32
2022 League of Legends World Championship,League of Legends,2225000,2022,San Francisco,16
2018 League of Legends World Championship,League of Legends,6450000,2018,Incheon,16
CS:GO Major Championship (PGL Antwerp 2022),Counter-Strike: Global Offensive,1000000,2022,Antwerp,24
PUBG Global Championship 2019,PUBG,2000000,2019,Oakland,32
Overwatch League 2021 Grand Finals,Overwatch,1500000,2021,Online,8
Rainbow Six Siege Six Invitational 2021,Rainbow Six Siege,3000000,2021,Online,20
2021 League of Legends World Championship,League of Legends,2225000,2021,Reykjavik,16
Valorant Champions 2021,Valorant,1000000,2021,Berlin,16
The International 2013,Dota 2,2874380,2013,Seattle,16
Valorant Champions 2022,Valorant,1000000,2022,Istanbul,16
CS:GO Major Championship (IEM Katowice 2023),Counter-Strike: Global Offensive,1250000,2023,Katowice,24
PUBG Global Invitational.S 2021,PUBG,1000000,2021,Online,32
Apex Legends Global Series 2022 Championship,Apex Legends,1000000,2022,Raleigh,60
2020 League of Legends World Championship,League of Legends,2225000,2020,Shanghai,16
Fortnite Champion Series Chapter 3 Season 1 Finals,Fortnite,3000000,2022,Online,200
Dota 2 DPC 2022 Season 2 Tour 3 Finals,Dota 2,500000,2022,Online,12
CS:GO Major Championship (PGL Stockholm 2021),Counter-Strike: Global Offensive,1000000,2021,Stockholm,24
Rainbow Six Siege Six Invitational 2020,Rainbow Six Siege,3000000,2020,Montreal,20
Hearthstone World Championship 2019,Hearthstone,1000000,2019,Anaheim,8
2017 League of Legends World Championship,League of Legends,4946970,2017,Beijing,16
Rainbow Six Siege Six Invitational 2022,Rainbow Six Siege,3000000,2022,Online,20
Fortnite Champion Series Chapter 2 Season 6 Finals,Fortnite,3000000,2021,Online,200
PUBG Global Championship 2022,PUBG,2000000,2022,Online/Kuala Lumpur,32
Rocket League Championship Series Season X World Championship,Rocket League,1000000,2020,Online,16
Overwatch League 2020 Grand Finals,Overwatch,1500000,2020,Online,8
The International 2023,Dota 2,3800000,2023,Seattle,16
Valorant Champions 2023,Valorant,2250000,2023,Los Angeles,16
2016 League of Legends World Championship,League of Legends,4951173,2016,Los Angeles,16
CS:GO Major Championship (ESL One Cologne 2016),Counter-Strike: Global Offensive,1000000,2016,Cologne,16
Apex Legends Global Series 2023 Championship,Apex Legends,2000000,2023,Birmingham,60
2023 League of Legends World Championship,League of Legends,2225000,2023,Seoul,16
CS:GO Major Championship (BLAST.tv Paris 2023),Counter-Strike: Global Offensive,1250000,2023,Paris,24
Rocket League Championship Series 2021-22 World Championship,Rocket League,1000000,2022,Fort Worth,16
Fortnite Champion Series Chapter 3 Season 2 Finals,Fortnite,2000000,2022,Online,200
CS:GO Major Championship (IEM Rio 2022),Counter-Strike: Global Offensive,1000000,2022,Rio de Janeiro,24
Hearthstone World Championship 2018,Hearthstone,1000000,2018,Las Vegas,8
Street Fighter League World Championship 2022,Street Fighter V,500000,2022,Online,12
2015 League of Legends World Championship,League of Legends,2130000,2015,Brussels,16
PUBG Nations Cup 2022,PUBG,1000000,2022,Bangkok,16
Rocket League Championship Series 2021-22 Spring Major,Rocket League,300000,2022,Fort Worth,16
Overwatch League 2022 Grand Finals,Overwatch,1000000,2022,Online,8
CS:GO Major Championship (IEM Katowice 2019),Counter-Strike: Global Offensive,500000,2019,Katowice,24
Valorant Masters Reykjavik 2022,Valorant,650000,2022,Reykjavik,12
Rainbow Six Siege Six Invitational 2023,Rainbow Six Siege,3000000,2023,Montreal,20
Hearthstone World Championship 2022,Hearthstone,500000,2022,Online,8
The International 2012,Dota 2,1600000,2012,Seattle,16
The International 2011,Dota 2,1600000,2011,Cologne,16
2022 Mid-Season Invitational League of Legends,League of Legends,400000,2022,Busan,12
CS:GO Major Championship (ESL One Cologne 2019),Counter-Strike: Global Offensive,500000,2019,Cologne,16
2014 League of Legends World Championship,League of Legends,2000000,2014,Seoul,16
Fortnite World Cup 2019 Creative Finals,Fortnite,3000000,2019,New York,300
2021 Mid-Season Invitational League of Legends,League of Legends,400000,2021,Reykjavik,12
CS:GO Major Championship (StarLadder Berlin 2019),Counter-Strike: Global Offensive,500000,2019,Berlin,24
PUBG Global Championship 2018,PUBG,2000000,2018,Oakland,32
Apex Legends Global Series 2021 Championship,Apex Legends,1000000,2021,Online,60
Dota 2 ESL One 2019 Hamburg,Dota 2,300000,2019,Hamburg,8
Smite World Championship 2019,Smite,1000000,2019,Atlanta,20
Rainbow Six Siege Six Invitational 2019,Rainbow Six Siege,2000000,2019,Montreal,20
2013 League of Legends World Championship,League of Legends,2000000,2013,Los Angeles,16
Rocket League Championship Series Season 8 World Championship,Rocket League,400000,2019,Las Vegas,12
Overwatch World Cup 2019,Overwatch,500000,2019,Anaheim,16
Hearthstone World Championship 2017,Hearthstone,1000000,2017,Anaheim,8
